Metadata
    Sounding ID                                  	d9fbdf73-0b92-4009-ab49-f34d14dcb16a
    Release point latitude                       	33.298092°S
    Release point longitude                      	153.015198°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-12T05:36:14
    Balloon release time                         	05:36:14
    Balloon release date                         	12/10/23
    Surface pressure                             	1010.79 hPa
    Surface temperature                          	21.90 °C
    Surface relative humidity                    	79.40 %
    Surface wind speed                           	28.00 m/s
    Surface wind direction                       	24.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030502
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	96, 773, 1496, 3108, 5754, 7404, 9408, 10609, 12041, 13878, 16444, 18679, 20794, 24068, 26682
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.07 %Rh
    T difference (Tu - T)                        	0.02 °C 
    T in-built check air temperature             	22.93 °C
    Tu temperature                               	22.95 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	27147 m
    Average ascent rate                          	5.9 m/s
    T difference (Tu - T)                        	0.02 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.07 %Rh
    Tracked satellite average count              	11.5
    Surface pressure                             	1010.00 hPa
    Surface temperature                          	21.90 °C
    Surface humidity                             	79.40 %Rh
    Surface wind direction                       	24.00°
    Surface wind speed                           	28.00 m/s
    STD level heights                            	96, 773, 1496, 3108, 5754, 7404, 9408, 10609, 12041, 13878, 16444, 18679, 20794, 24068, 26682
    T temperature                                	22.93 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1010.79, 21.9,79.40, 18.2, 24.0, 28.0,           4,    0.0,1010.79,-33.298092,153.015198, 24.3,   21.0,TUdfv             
           2,       13,1009.83, 22.5,79.45, 18.7, 19.4,  9.4,          12,    5.0,1009.83,-33.307583,153.011607, 24.9,   21.6,   fv             
           3,       19,1009.02, 22.3,79.93, 18.7, 17.8,  7.9,          19,    6.6,1009.02,-33.308607,153.011246, 24.7,   21.5,   fv             
           4,       26,1008.09, 22.4,79.76, 18.7, 17.8,  8.3,          27,    6.7,1008.09,-33.308752,153.011233, 24.8,   21.7,                  
           5,       32,1007.37, 22.3,79.90, 18.6, 18.2,  9.1,          33,    5.8,1007.37,-33.308681,153.011300, 24.7,   21.6,                  
           6,       37,1006.96, 22.0,80.52, 18.5, 18.6,  9.7,          37,    4.7,1006.96,-33.308648,153.011326, 24.4,   21.4,          Pi      
           7,       41,1006.54, 21.8,81.00, 18.4, 18.8, 10.2,          41,    4.1,1006.54,-33.308673,153.011302, 24.2,   21.3,          Pi      
           8,       45,1006.12, 21.8,81.04, 18.4, 18.9, 10.6,          45,    4.4,1006.12,-33.308738,153.011236, 24.1,   21.2,                  
           9,       51,1005.35, 21.7,80.71, 18.2, 19.0, 11.0,          50,    5.4,1005.35,-33.308837,153.011135, 24.1,   21.2,                  
          10,       57,1004.59, 21.6,80.78, 18.2, 19.1, 11.5,          57,    6.5,1004.59,-33.308945,153.011029, 24.0,   21.2,                  
          11,       65,1003.94, 21.6,81.06, 18.2, 19.2, 11.9,          64,    7.5,1003.94,-33.309069,153.010939, 23.9,   21.2,                  
          12,       73,1002.95, 21.5,80.91, 18.1, 19.4, 12.3,          73,    8.3,1002.95,-33.309208,153.010866, 23.9,   21.3,                  
          13,       81,1001.54, 21.5,80.47, 18.0, 19.5, 12.7,          82,    7.7,1001.54,-33.309351,153.010799, 23.8,   21.3,                  
          14,       86,1001.10, 21.4,80.40, 17.9, 19.6, 13.0,          87,    5.3,1001.10,-33.309481,153.010736, 23.7,   21.3,                  
          16,       91,1000.71, 21.3,80.61, 17.9, 19.8, 13.6,          91,    2.7,1000.71,-33.309729,153.010597, 23.6,   21.2,                  
          17,       94,1000.36, 21.2,80.89, 17.8, 19.8, 13.9,          94,    2.4,1000.36,-33.309842,153.010534, 23.6,   21.2,          Pi      
          18,       96,1000.00, 21.2,81.01, 17.8, 19.9, 14.1,          96,    2.8,1000.00,-33.309953,153.010478, 23.5,   21.2,          Pi      
          19,      100, 999.65, 21.1,81.02, 17.7, 20.0, 14.2,          99,    3.3, 999.65,-33.310066,153.010424, 23.4,   21.1,                  
          20,      104, 999.33, 21.1,81.13, 17.7, 20.0, 14.4,         103,    4.3, 999.33,-33.310187,153.010363, 23.4,   21.1,                  
          21,      110, 998.62, 21.0,81.34, 17.7, 20.1, 14.5,         109,    5.5, 998.62,-33.310309,153.010291, 23.3,   21.1,          Pi      
          22,      116, 997.90, 21.0,81.62, 17.7, 20.1, 14.7,         116,    6.5, 997.90,-33.310434,153.010224, 23.3,   21.1,                  
          23,      123, 996.96, 20.9,81.48, 17.6, 20.1, 14.8,         123,    6.9, 996.96,-33.310563,153.010172, 23.2,   21.1,                  
          24,      129, 996.14, 20.8,80.81, 17.4, 20.2, 15.0,         130,    6.5, 996.14,-33.310702,153.010120, 23.1,   21.2,                  
          25,      135, 995.61, 20.8,80.51, 17.3, 20.2, 15.1,         135,    5.5, 995.61,-33.310839,153.010055, 23.0,   21.1,                  
          26,      140, 995.20, 20.7,80.82, 17.3, 20.2, 15.3,         140,    5.0, 995.20,-33.310969,153.009989, 23.0,   21.1,                  
          27,      145, 994.46, 20.6,81.01, 17.3, 20.2, 15.4,         145,    5.2, 994.46,-33.311098,153.009925, 22.9,   21.1,                  
          28,      151, 993.79, 20.6,81.16, 17.3, 20.1, 15.4,         151,    5.4, 993.79,-33.311231,153.009855, 22.9,   21.1,          Pi      
          29,      156, 993.12, 20.5,81.63, 17.3, 20.1, 15.5,         156,    5.4, 993.12,-33.311366,153.009784, 22.8,   21.1,                  
          30,      162, 992.71, 20.5,82.27, 17.4, 20.0, 15.6,         161,    5.4, 992.71,-33.311501,153.009717, 22.8,   21.1,                  
          31,      167, 992.00, 20.4,82.65, 17.4, 20.0, 15.6,         167,    5.8, 992.00,-33.311642,153.009647, 22.7,   21.1,                  
