Metadata
    Sounding ID                                  	e7d4e615-3507-472a-94ea-7526f2b62988
    Release point latitude                       	33.852711°S
    Release point longitude                      	154.727463°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-13T02:31:57
    Balloon release time                         	02:31:57
    Balloon release date                         	13/10/23
    Surface pressure                             	1014.27 hPa
    Surface temperature                          	17.00 °C
    Surface relative humidity                    	59.70 %
    Surface wind speed                           	24.60 m/s
    Surface wind direction                       	242.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030466
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	124, 781, 1478, 3042, 5659, 7296, 9275, 10468, 11914, 13763, 16372, 18629, 20761, 24021, 26639
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.04 %Rh
    T difference (Tu - T)                        	0.25 °C 
    T in-built check air temperature             	21.95 °C
    Tu temperature                               	22.20 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	25217 m
    Average ascent rate                          	5.4 m/s
    T difference (Tu - T)                        	0.25 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.04 %Rh
    Tracked satellite average count              	9.9
    Surface pressure                             	1013.47 hPa
    Surface temperature                          	17.00 °C
    Surface humidity                             	59.70 %Rh
    Surface wind direction                       	242.00°
    Surface wind speed                           	24.60 m/s
    STD level heights                            	124, 781, 1478, 3042, 5659, 7296, 9275, 10468, 11914, 13763, 16372, 18629, 20761, 24021, 26639
    T temperature                                	21.95 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,    RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,     %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1014.27, 17.0, 59.70,  9.1,242.0, 24.6,           4,    0.0,1014.27,-33.852711,154.727463, 18.3,   15.8,TUdfv             
           2,       11,1013.37, 17.7, 64.38, 10.9,240.7,  6.8,          11,    4.3,1013.37,-33.850795,154.726303, 19.1,   16.6,   fv       Ti    
           3,       15,1012.83, 18.1, 65.06, 11.5,240.2,  5.3,          15,    3.6,1012.83,-33.850565,154.726214, 19.6,   17.1,   fv       Ti    
           4,       19,1012.55, 18.2, 64.76, 11.5,240.4,  5.7,          18,    3.8,1012.55,-33.850514,154.726268, 19.7,   17.2,T                 
           5,       24,1012.09, 18.0, 64.34, 11.2,240.7,  6.6,          23,    4.9,1012.09,-33.850505,154.726389, 19.5,   17.0,                  
           6,       31,1011.23, 17.8, 63.53, 10.8,240.9,  7.5,          30,    6.9,1011.23,-33.850476,154.726529, 19.3,   16.9,                  
           7,       39,1010.11, 17.7, 62.56, 10.5,241.0,  8.1,          39,    8.3,1010.11,-33.850421,154.726664, 19.1,   16.8,                  
           8,       47,1009.01, 17.5, 61.91, 10.2,241.0,  8.6,          48,    8.4,1009.01,-33.850350,154.726792, 18.9,   16.8,                  
           9,       54,1008.15, 17.4, 61.68, 10.0,241.1,  9.1,          55,    7.0,1008.15,-33.850291,154.726917, 18.8,   16.8,                  
          10,       59,1007.69, 17.3, 61.49,  9.9,241.1,  9.6,          60,    5.2,1007.69,-33.850244,154.727045, 18.7,   16.7,                  
          11,       63,1007.29, 17.2, 61.48,  9.8,241.1, 10.1,          64,    3.9,1007.29,-33.850201,154.727176, 18.6,   16.6,                  
          12,       67,1006.85, 17.2, 61.71,  9.8,241.1, 10.5,          67,    3.2,1006.85,-33.850158,154.727299, 18.5,   16.6,                  
          13,       69,1006.41, 17.1, 61.93,  9.8,241.1, 10.9,          69,    2.8,1006.41,-33.850113,154.727423, 18.4,   16.6,                  
          14,       72,1006.19, 17.1, 62.09,  9.8,241.1, 11.3,          72,    2.7,1006.19,-33.850061,154.727552, 18.4,   16.5,                  
