Metadata
    Sounding ID                                  	62914c7b-7e88-4938-a3d3-458cee0237a3
    Release point latitude                       	33.539616°S
    Release point longitude                      	154.329178°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-13T08:20:59
    Balloon release time                         	08:20:59
    Balloon release date                         	13/10/23
    Surface pressure                             	1014.27 hPa
    Surface temperature                          	17.70 °C
    Surface relative humidity                    	59.70 %
    Surface wind speed                           	24.60 m/s
    Surface wind direction                       	243.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030488
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	128, 783, 1480, 3045, 5655, 7286, 9262, 10461, 11905, 13757, 16359, 18615, 20744, 24025, 26647
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.08 %Rh
    T difference (Tu - T)                        	-0.11 °C 
    T in-built check air temperature             	22.34 °C
    Tu temperature                               	22.23 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	25333 m
    Average ascent rate                          	4.9 m/s
    T difference (Tu - T)                        	-0.11 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.08 %Rh
    Tracked satellite average count              	10.8
    Surface pressure                             	1013.47 hPa
    Surface temperature                          	17.70 °C
    Surface humidity                             	59.70 %Rh
    Surface wind direction                       	243.00°
    Surface wind speed                           	24.60 m/s
    STD level heights                            	128, 783, 1480, 3045, 5655, 7286, 9262, 10461, 11905, 13757, 16359, 18615, 20744, 24025, 26647
    T temperature                                	22.34 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1014.27, 17.7,59.70,  9.8,243.0, 24.6,           4,    0.0,1014.27,-33.539616,154.329178, 19.0,   16.5,TUdfv             
           1,        9,1013.18, 18.4,58.22, 10.1,244.6, 11.4,          10,   10.2,1013.18,-33.539511,154.329564, 19.8,   17.3,                  
           2,       13,1013.07, 18.5,57.58, 10.0,248.4,  5.0,          13,    3.5,1013.07,-33.539463,154.329777, 19.9,   17.4,                  
           4,       19,1012.54, 18.4,57.54,  9.9,256.8,  2.2,          18,    3.1,1012.54,-33.539417,154.329925, 19.7,   17.3,   fv     Pi      
           5,       23,1012.00, 18.3,57.44,  9.8,252.9,  2.9,          23,    4.4,1012.00,-33.539395,154.329948, 19.7,   17.4,                  
           6,       29,1011.32, 18.3,57.29,  9.8,250.2,  3.7,          28,    5.3,1011.32,-33.539368,154.329982, 19.7,   17.4,                  
           7,       35,1010.67, 18.1,57.41,  9.6,248.8,  4.2,          35,    6.0,1010.67,-33.539332,154.330040, 19.5,   17.3,                  
           8,       41,1009.87, 17.9,57.60,  9.5,248.2,  4.4,          41,    6.5,1009.87,-33.539298,154.330119, 19.2,   17.1,          Pi      
           9,       47,1009.06, 17.8,57.85,  9.4,247.6,  4.6,          48,    6.4,1009.06,-33.539264,154.330199, 19.1,   17.0,          Pi      
          10,       53,1008.26, 17.7,58.26,  9.5,247.0,  4.8,          54,    5.7,1008.26,-33.539221,154.330271, 19.0,   17.0,                  
          11,       58,1007.84, 17.7,58.80,  9.6,246.3,  5.0,          58,    4.6,1007.84,-33.539166,154.330330, 19.0,   17.1,                  
          12,       62,1007.55, 17.7,59.12,  9.6,245.6,  5.3,          62,    4.5,1007.55,-33.539120,154.330394, 19.0,   17.1,                  
          13,       68,1006.81, 17.6,59.22,  9.6,244.9,  5.5,          67,    5.4,1006.81,-33.539087,154.330485, 18.9,   17.0,                  
          14,       74,1005.89, 17.5,59.57,  9.6,244.2,  5.7,          74,    6.6,1005.89,-33.539057,154.330590, 18.9,   17.1,                  
          15,       82,1005.08, 17.5,59.99,  9.6,243.5,  6.0,          81,    7.3,1005.08,-33.539021,154.330684, 18.8,   17.0,                  
          16,       89,1004.25, 17.4,60.36,  9.7,242.8,  6.2,          89,    7.7,1004.25,-33.538988,154.330753, 18.8,   17.1,                  
          17,       97,1003.27, 17.4,60.51,  9.7,242.2,  6.4,          97,    7.8,1003.27,-33.538960,154.330811, 18.7,   17.1,                  
