Metadata
    Sounding ID                                  	e1b1f8fa-7f34-4110-84e4-5077cd0e1d57
    Release point latitude                       	33.871185°S
    Release point longitude                      	153.929626°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-13T15:36:08
    Balloon release time                         	15:36:08
    Balloon release date                         	13/10/23
    Surface pressure                             	1017.32 hPa
    Surface temperature                          	18.30 °C
    Surface relative humidity                    	58.00 %
    Surface wind speed                           	5.00 m/s
    Surface wind direction                       	314.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030474
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	151, 809, 1507, 3071, 5672, 7311, 9306, 10504, 11924, 13775, 16355, 18613, 20745, 24002, 26621
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.08 %Rh
    T difference (Tu - T)                        	-0.18 °C 
    T in-built check air temperature             	22.06 °C
    Tu temperature                               	21.88 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	28166 m
    Average ascent rate                          	4.4 m/s
    T difference (Tu - T)                        	-0.18 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.08 %Rh
    Tracked satellite average count              	10.8
    Surface pressure                             	1016.52 hPa
    Surface temperature                          	18.30 °C
    Surface humidity                             	58.00 %Rh
    Surface wind direction                       	314.00°
    Surface wind speed                           	5.00 m/s
    STD level heights                            	151, 809, 1507, 3071, 5672, 7311, 9306, 10504, 11924, 13775, 16355, 18613, 20745, 24002, 26621
    T temperature                                	22.06 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,    RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,     %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1017.32, 18.3, 58.00,  9.9,314.0,  5.0,           4,    0.0,1017.32,-33.871185,153.929626, 19.6,   16.9,TUdfv             
           2,       12,1016.37, 18.9, 58.34, 10.6,306.2,  2.1,          12,    4.1,1016.37,-33.873479,153.935445, 20.3,   17.5,                  
           3,       16,1015.78, 18.9, 58.35, 10.5,304.4,  1.9,          16,    3.8,1015.78,-33.873676,153.935932, 20.3,   17.6,                  
           4,       20,1015.38, 18.9, 58.66, 10.6,304.2,  2.0,          20,    3.7,1015.38,-33.873676,153.935935, 20.3,   17.6,                  
           5,       24,1015.00, 18.8, 59.11, 10.7,304.5,  2.2,          24,    4.0,1015.00,-33.873624,153.935825, 20.2,   17.6,                  
           6,       29,1014.43, 18.7, 59.38, 10.7,304.7,  2.3,          28,    4.7,1014.43,-33.873595,153.935763, 20.1,   17.5,                  
           7,       34,1013.69, 18.6, 59.25, 10.5,304.7,  2.4,          34,    5.6,1013.69,-33.873612,153.935778, 20.0,   17.5,          Pi      
           8,       40,1012.94, 18.5, 59.02, 10.4,304.6,  2.5,          40,    6.3,1012.94,-33.873655,153.935827, 19.9,   17.5,                  
           9,       47,1012.21, 18.5, 59.06, 10.4,304.5,  2.6,          47,    6.7,1012.21,-33.873694,153.935866, 19.9,   17.5,                  
          10,       54,1011.45, 18.4, 59.21, 10.4,304.5,  2.7,          54,    7.0,1011.45,-33.873713,153.935897, 19.8,   17.5,                  
          11,       61,1010.51, 18.4, 59.03, 10.3,304.4,  2.8,          61,    7.0,1010.51,-33.873718,153.935928, 19.7,   17.5,                  
          12,       67,1009.58, 18.3, 58.75, 10.1,304.4,  2.9,          68,    6.2,1009.58,-33.873726,153.935977, 19.7,   17.5,                  
          13,       72,1009.20, 18.2, 58.45,  9.9,304.4,  3.0,          72,    5.0,1009.20,-33.873749,153.936031, 19.5,   17.4,                  
          14,       77,1008.84, 18.1, 58.31,  9.9,304.4,  3.1,          77,    4.6,1008.84,-33.873784,153.936075, 19.5,   17.4,                  
