Metadata
    Sounding ID                                  	eb5dc85f-2e6c-4134-957d-b8de259581f1
    Release point latitude                       	33.871895°S
    Release point longitude                      	154.331192°E
    Release point height from sea level          	4 m
    Balloon release date and time                	2023-10-13T20:54:44
    Balloon release time                         	20:54:44
    Balloon release date                         	13/10/23
    Surface pressure                             	1016.79 hPa
    Surface temperature                          	20.00 °C
    Surface relative humidity                    	55.10 %
    Surface wind speed                           	10.20 m/s
    Surface wind direction                       	297.00°
    Sonde type                                   	RS41-SG
    Sonde serial number                          	V1030013
    System trademark and model                   	MW41
    Software version                             	MW41 2.4.0
    Sonde software version                       	2.2.15
    Comments                                     	
    STD level heights                            	146, 808, 1510, 3077, 5692, 7338, 9338, 10534, 11941, 13780, 16355, 18618, 20746, 24019, 26628
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.26 %Rh
    T difference (Tu - T)                        	-0.08 °C 
    T in-built check air temperature             	21.99 °C
    Tu temperature                               	21.91 °C
    RS41 calculation version                     	1.7
    Uref1 humidity                               	0.00 %Rh
    Height and pressure in messages is based on  	GPS
    Station name                                 	VLMJ_YMC
    Reason for termination                       	IncreasingPressure
    Terminating altitude                         	26906 m
    Average ascent rate                          	4.8 m/s
    T difference (Tu - T)                        	-0.08 °C 
    P correction (Pref - P)                      	/////
    U correction (Uref1 - U1)                    	0.26 %Rh
    Tracked satellite average count              	11.9
    Surface pressure                             	1015.99 hPa
    Surface temperature                          	20.00 °C
    Surface humidity                             	55.10 %Rh
    Surface wind direction                       	297.00°
    Surface wind speed                           	10.20 m/s
    STD level heights                            	146, 808, 1510, 3077, 5692, 7338, 9338, 10534, 11941, 13780, 16355, 18618, 20746, 24019, 26628
    T temperature                                	21.99 °C
    P pressure                                   	/////
    Ground check device                          	RI41
    Ground check device software version         	2.04
    Pref pressure                                	/////
    Tref temperature                             	/////
    Uref humidity                                	/////
    Uref1 humidity                               	0.00 %Rh
    Reason for sounding failure                  	/////
    Sounding status                              	Ok

Elapsed time,HeightMSL,      P, Temp,   RH, Dewp,  Dir,Speed,GpsHeightMSL,AscRate,     Pc,       Lat,       Lon, VirT,PotTemp,          KeyFlags
           s,        m,    hPa,   °C,    %,   °C,    °,  m/s,           m,    m/s,    hPa,         °,         °,   °C,     °C,                  
           0,        4,1016.79, 20.0,55.10, 10.7,297.0, 10.2,           4,    0.0,1016.79,-33.871895,154.331192, 21.4,   18.6,TUdfv             
           1,       14,1015.49, 20.4,53.37, 10.7,296.4,  5.8,          14,    7.7,1015.49,-33.872920,154.331128, 21.8,   19.1,                  
           2,       19,1014.82, 20.3,53.36, 10.5,296.0,  4.7,          19,    4.8,1014.82,-33.873231,154.331138, 21.7,   19.0,                  
           3,       22,1014.47, 20.2,53.50, 10.5,296.0,  4.6,          22,    2.5,1014.47,-33.873342,154.331173, 21.6,   19.0,   fv             
           6,       29,1013.99, 19.9,54.00, 10.4,296.3,  6.0,          28,    2.4,1013.99,-33.873388,154.331361, 21.3,   18.8,                  
           7,       35,1012.98, 19.8,54.24, 10.4,296.4,  6.4,          35,    6.3,1012.98,-33.873416,154.331443, 21.2,   18.8,                  
           8,       42,1012.17, 19.8,54.43, 10.3,296.5,  6.6,          42,    7.0,1012.17,-33.873436,154.331536, 21.1,   18.7,          Pi      
           9,       49,1011.35, 19.6,54.23, 10.2,296.6,  6.9,          49,    7.0,1011.35,-33.873457,154.331633, 21.0,   18.7,                  
          10,       56,1010.70, 19.5,53.86, 10.0,296.7,  7.2,          56,    6.8,1010.70,-33.873495,154.331727, 20.9,   18.6,                  
          11,       63,1010.04, 19.5,54.34, 10.1,296.9,  7.5,          62,    6.8,1010.04,-33.873541,154.331815, 20.8,   18.6,                  
          12,       70,1009.04, 19.4,54.45, 10.0,297.0,  7.8,          70,    7.1,1009.04,-33.873581,154.331908, 20.8,   18.7,                  
          13,       76,1008.14, 19.3,52.72,  9.4,297.2,  8.1,          77,    6.8,1008.14,-33.873617,154.332022, 20.6,   18.6,                  
          14,       82,1007.53, 19.2,51.59,  9.0,297.3,  8.4,          82,    5.5,1007.53,-33.873668,154.332152, 20.5,   18.6,                  
          15,       86,1007.15, 19.1,51.85,  9.0,297.5,  8.7,          86,    4.0,1007.15,-33.873736,154.332270, 20.4,   18.5,                  
          16,       89,1006.78, 19.1,52.16,  9.1,297.7,  9.0,          89,    2.9,1006.78,-33.873802,154.332369, 20.4,   18.5,                  
          17,       91,1006.42, 19.0,52.25,  9.1,297.9,  9.2,          91,    2.4,1006.42,-33.873846,154.332461, 20.3,   18.5,                  
